iter	RMSE
0	62.83253965
1	61.9294472
2	61.06511425
3	60.20372047
4	59.31971786
5	58.4604756
6	57.65236605
7	56.85139825
8	56.09696493
9	55.46449162
10	54.72438915
11	53.9963541
12	53.3243381
13	52.62705504
14	51.97839352
15	51.40913199
16	50.827414
17	50.19702887
18	49.61798995
19	49.05892259
20	48.5213499
21	47.96684862
22	47.4428163
23	46.97003054
24	46.4932152
25	46.00705686
26	45.55906254
27	45.08916688
28	44.66644827
29	44.20373032
30	43.7990135
31	43.36230759
32	42.89008154
33	42.55090305
34	42.15670108
35	41.76924842
36	41.39394318
37	41.0179066
38	40.67743709
39	40.36167659
40	40.07241788
41	39.79800406
42	39.48819429
43	39.19264706
44	38.89436827
45	38.57845096
46	38.29993571
47	38.00305692
48	37.73167967
49	37.48608168
50	37.20377148
51	36.92531345
52	36.72828556
53	36.46754257
54	36.21338475
55	35.96796026
56	35.70505596
57	35.52296474
58	35.33140244
59	35.11306997
60	34.90282896
61	34.72010787
62	34.51369921
63	34.31765989
64	34.08239643
65	33.86617979
66	33.66398044
67	33.45120983
68	33.28477689
69	33.10658057
70	32.90826091
71	32.74235608
72	32.57703225
73	32.41561686
74	32.28726237
75	32.10298349
76	31.93927484
77	31.77278925
78	31.64598391
79	31.50050954
80	31.3550499
81	31.21231461
82	31.04669132
83	30.9146846
84	30.73918331
85	30.60606977
86	30.47592171
87	30.32957973
88	30.17456978
89	30.05350773
90	29.93987351
91	29.83676457
92	29.70641242
93	29.55934097
94	29.44852778
95	29.36764612
96	29.26485483
97	29.18309765
98	29.04740472
99	28.94826436
100	28.84793501
101	28.73063473
102	28.64722412
103	28.53567156
104	28.42527282
105	28.32512905
106	28.22856776
107	28.11621357
108	28.01771122
109	27.92740586
110	27.81794237
111	27.71294098
112	27.63255854
113	27.56467871
114	27.48563976
115	27.4026385
116	27.33531876
117	27.27737258
118	27.17422999
119	27.06578552
120	26.97714734
121	26.89300894
122	26.8123267
123	26.7501946
124	26.66253765
125	26.57562707
126	26.52887199
127	26.4442026
128	26.35810274
129	26.29518326
130	26.27018957
131	26.20064223
132	26.10561131
133	26.06262396
134	26.01103172
135	25.94665364
136	25.88598449
137	25.82066082
138	25.7196507
139	25.64986232
140	25.58726047
141	25.51755792
142	25.46433201
143	25.40677729
144	25.36412899
145	25.32742727
146	25.29148893
147	25.22099113
148	25.14644923
149	25.09681774
150	25.03381202
151	24.96412
152	24.92879631
153	24.91265077
154	24.85494052
155	24.81650229
156	24.75083231
157	24.6877112
158	24.64504019
159	24.57559016
160	24.51146803
161	24.46757707
162	24.42863107
163	24.3779019
164	24.34140467
165	24.31506365
166	24.2602095
167	24.20588635
168	24.1693985
169	24.1357131
170	24.1029524
171	24.06272633
172	24.01276666
173	23.962749
174	23.91350667
175	23.89106037
176	23.85961462
177	23.82682944
178	23.75555373
179	23.71283163
180	23.64506631
181	23.61177735
182	23.58954018
183	23.55891076
184	23.51097877
185	23.47288844
186	23.43235004
187	23.4139647
188	23.37829474
189	23.33827787
190	23.31963374
191	23.27244146
192	23.25455123
193	23.21893433
194	23.2011105
195	23.14879076
196	23.10569432
197	23.07055595
198	23.04070705
199	23.01172135
200	22.99436114
201	22.97031925
202	22.93302245
203	22.90471997
204	22.86551224
205	22.81569603
206	22.78587881
207	22.7391673
208	22.70730364
209	22.66860568
210	22.63583554
211	22.6082497
212	22.56787323
213	22.54980789
214	22.49430183
215	22.44866793
216	22.43253615
217	22.38386034
218	22.35127221
219	22.27832452
220	22.26077756
221	22.23542472
222	22.20679961
223	22.18261914
224	22.15013717
225	22.12856773
226	22.11249343
227	22.08799682
228	22.05715657
229	22.02831819
230	21.99290973
231	21.97068957
232	21.94174057
233	21.8836857
234	21.85844282
235	21.83615042
236	21.80358786
237	21.76625938
238	21.74281539
239	21.70717229
240	21.69699874
241	21.66405361
242	21.64188791
243	21.62253726
244	21.5816218
245	21.52350721
246	21.47450837
247	21.44158919
248	21.40421579
249	21.35920813
250	21.345216
251	21.30741044
252	21.29143465
253	21.22553315
254	21.20708646
255	21.162131
256	21.12186028
257	21.07764667
258	21.06075332
259	21.01006834
260	20.95982425
261	20.95082729
262	20.93253687
263	20.9135257
264	20.88939283
265	20.85540088
266	20.84328921
267	20.83301984
268	20.78570407
269	20.72763887
270	20.71306893
271	20.68599444
272	20.66333807
273	20.64790374
274	20.6320872
275	20.61890009
276	20.60427273
277	20.58708959
278	20.55139938
279	20.51265873
280	20.50006407
281	20.46169153
282	20.43905513
283	20.4221285
284	20.38333058
285	20.34413237
286	20.33170849
287	20.31982758
288	20.29259008
289	20.25003555
290	20.19721376
291	20.17880927
292	20.16404561
293	20.14892189
294	20.09414283
295	20.05988932
296	20.03446613
297	20.00055114
298	19.96331857
299	19.93721159
300	19.90119078
301	19.86606366
302	19.85099355
303	19.83038161
304	19.81990561
305	19.8110568
306	19.78484153
307	19.78018181
308	19.75985474
309	19.72530277
310	19.69679967
311	19.66267441
312	19.65351858
313	19.64080513
314	19.60746388
315	19.58344647
316	19.57164686
317	19.53354454
318	19.50918161
319	19.50383712
320	19.48776011
321	19.47649292
322	19.46716998
323	19.43883185
324	19.42771392
325	19.41272699
326	19.39544462
327	19.3852468
328	19.33599581
329	19.31448666
330	19.28836472
331	19.28171233
332	19.23494589
333	19.21842652
334	19.20530314
335	19.16855223
336	19.15301349
337	19.13845379
338	19.10911042
339	19.08545387
340	19.06340504
341	19.04340401
342	19.03332742
343	19.02321115
344	19.01432536
345	19.00219391
346	18.98863596
347	18.96164619
348	18.94857464
349	18.93240858
350	18.91015358
351	18.8793971
352	18.81851683
353	18.81474235
354	18.81018475
355	18.79511026
356	18.79037738
357	18.77063801
358	18.73605783
359	18.70631415
360	18.68680886
361	18.66949669
362	18.65953058
363	18.63377819
364	18.62497187
365	18.58578781
366	18.56928764
367	18.55673299
368	18.55009441
369	18.52178068
370	18.50943878
371	18.47770162
372	18.44463261
373	18.40069913
374	18.39036718
375	18.38008983
376	18.36295635
377	18.33574945
378	18.3105734
379	18.30228994
380	18.29322596
381	18.26877927
382	18.25538892
383	18.22408581
384	18.20999627
385	18.19894996
386	18.18687523
387	18.17524772
388	18.14583757
389	18.11856119
390	18.11023529
391	18.09853957
392	18.07722713
393	18.06598001
394	18.04383818
395	18.04008882
396	18.03030608
397	18.02141683
398	18.01034916
399	17.98855234
400	17.9785634
401	17.97046988
402	17.96131392
403	17.95019831
404	17.93091932
405	17.92220769
406	17.89986585
407	17.8912573
408	17.88229178
409	17.87293315
410	17.84679127
411	17.7985804
412	17.77386848
413	17.76422757
414	17.75227558
415	17.73017651
416	17.71842719
417	17.69901006
418	17.67287805
419	17.66252013
420	17.65289227
421	17.63774907
422	17.61353768
423	17.57781722
424	17.56949851
425	17.54599067
426	17.52211893
427	17.51652808
428	17.50115009
429	17.47510006
430	17.46720287
431	17.45831809
432	17.43213648
433	17.40490403
434	17.39950531
435	17.39433852
436	17.37300488
437	17.3447871
438	17.33650119
439	17.32379994
440	17.30671905
441	17.28864083
442	17.27177567
443	17.26072042
444	17.23834457
445	17.22204948
446	17.21132817
447	17.18992675
448	17.18492174
449	17.16122703
450	17.12918797
451	17.11053655
452	17.10554176
453	17.10254857
454	17.05726799
455	17.0339546
456	17.01852665
457	17.01002303
458	17.00170954
459	16.99699073
460	16.98193952
461	16.9542321
462	16.93396897
463	16.91369093
464	16.90550924
465	16.8887639
466	16.87863981
467	16.87064831
468	16.86277431
469	16.83292993
470	16.81833992
471	16.7988239
472	16.76697945
473	16.75617267
474	16.74839638
475	16.72606427
476	16.70038182
477	16.69361271
478	16.68487596
479	16.67766968
480	16.65951478
481	16.64564699
482	16.62078999
483	16.60713083
484	16.59400724
485	16.58172546
486	16.57459873
487	16.54786244
488	16.53384573
489	16.51956271
490	16.51403422
491	16.49886048
492	16.49181443
493	16.47437138
494	16.46743059
495	16.45393443
496	16.43991411
497	16.42056213
498	16.41439343
499	16.40168486
